Asset Type,Asset Environment,Operating System,Issue Category,Issue Subcategory,Issue ID,Issue Title,Source of Scan,Issue Status,Age,Threshold,Severity,Critical Issue,Port,Last Scan Date,First Reported Date,Last Reported Date,Last Completed Date,Last Reopened Date,Impacts Posture Scorecard,Protocol,CVE ID,CVE Age,Vendor,Vendor ID,Detection Release Date,Patchable,Remote Discovery,Occurrences,Remediation Progress,Solution,Threat,Impact
Server,production,windows server 2016 datacenter,Internal Vulnerabilities,Internal Vulnerability,378332,Microsoft WinVerifyTrust Signature Validation Vulnerability,Qualys Internal - Agent,Reopened,977,90,High,No,,6/10/2026,10/7/2023,6/10/2026,5/4/2024,5/8/2024,Yes,,CVE-2013-3900,4565,microsoft,CVE-2013-3900,4/4/2023,Yes,No,,Open,"Customers are advised to refer to <A HREF=""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900"" TARGET=""_blank"">WinVerifyTrust Signature Validation</A> for further details pertaining to this.<P> Opting into this stricter verification behavior causes the WinVerifyTrust function to perform strict Windows Authenticode signature verification for PE files. After opting-in, PE files will be considered &quot;unsigned&quot; if Windows identifies content in them that does not conform to the Authenticode specification. This may impact some installers. If you are using an installer that is impacted, Microsoft recommends using an installer that only extracts content from validated portions of the signed file.<P> <P>Patch:<BR> Following are links for downloading patches to fix the vulnerabilities: <P> <A HREF=""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900"" TARGET=""_blank"">CVE-2013-3900</A>","Microsoft stated that they have re-published the CVE-2013-3900 to inform customers about the availability of EnableCertPaddingCheck. This behavior remains available as an opt-in feature via the registry key setting and is available on all supported editions of Windows released since December 10, 2013. <P>

Microsoft recommends that executable authors consider conforming all signed binaries to the new verification standard by ensuring that they contain no extraneous information in the WIN_CERTIFICATE structure. Microsoft also recommends that customers appropriately test this change to evaluate how it will behave in their environments.<P>

Microsoft recommends that customers test how this change to Authenticode signature verification behaves in their environment before fully implementing it. To enable the Authenticode signature verification improvements, modify the registry to add the EnableCertPaddingCheck value as detailed below.<BR>
- HKEY_LOCAL_MACHINE\Software\Microsoft\Cryptography\Wintrust\Config  &quot;EnableCertPaddingCheck&quot;=&quot;1&quot;<BR>
- HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config  &quot;EnableCertPaddingCheck&quot;=&quot;1&quot;<P>

QID Detection Logic (Authenticated):<BR>
This QID checks for the presence of these registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Cryptography\Wintrust\Config and HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config, and checks whether the value 'EnableCertPaddingCheck' associated with these keys is set to 1 (REG_DWORD or  REG_SZ).<BR>
If these keys are missing or the value is not set to 1 of registry value EnableCertPaddingCheck is , then this QID gets reported.<P>



",A remote code execution vulnerability exists in the way that the WinVerifyTrust function handles Windows Authenticode signature verification for portable executable (PE) files. An anonymous attacker could exploit the vulnerability by modifying an existing signed executable file to leverage unverified portions of the file in such a way as to add malicious code to the file without invalidating the signature. <BR>
Server,production,windows server 2022 datacenter,Internal Vulnerabilities,Internal Vulnerability,378332,Microsoft WinVerifyTrust Signature Validation Vulnerability,Qualys Internal - Agent,Reopened,977,90,High,No,,11/19/2025,10/7/2023,11/19/2025,5/4/2024,5/8/2024,Yes,,CVE-2013-3900,4565,microsoft,CVE-2013-3900,4/4/2023,Yes,No,,Open,"Customers are advised to refer to <A HREF=""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900"" TARGET=""_blank"">WinVerifyTrust Signature Validation</A> for further details pertaining to this.<P> Opting into this stricter verification behavior causes the WinVerifyTrust function to perform strict Windows Authenticode signature verification for PE files. After opting-in, PE files will be considered &quot;unsigned&quot; if Windows identifies content in them that does not conform to the Authenticode specification. This may impact some installers. If you are using an installer that is impacted, Microsoft recommends using an installer that only extracts content from validated portions of the signed file.<P> <P>Patch:<BR> Following are links for downloading patches to fix the vulnerabilities: <P> <A HREF=""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2013-3900"" TARGET=""_blank"">CVE-2013-3900</A>","Microsoft stated that they have re-published the CVE-2013-3900 to inform customers about the availability of EnableCertPaddingCheck. This behavior remains available as an opt-in feature via the registry key setting and is available on all supported editions of Windows released since December 10, 2013. <P>

Microsoft recommends that executable authors consider conforming all signed binaries to the new verification standard by ensuring that they contain no extraneous information in the WIN_CERTIFICATE structure. Microsoft also recommends that customers appropriately test this change to evaluate how it will behave in their environments.<P>

Microsoft recommends that customers test how this change to Authenticode signature verification behaves in their environment before fully implementing it. To enable the Authenticode signature verification improvements, modify the registry to add the EnableCertPaddingCheck value as detailed below.<BR>
- HKEY_LOCAL_MACHINE\Software\Microsoft\Cryptography\Wintrust\Config  &quot;EnableCertPaddingCheck&quot;=&quot;1&quot;<BR>
- HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config  &quot;EnableCertPaddingCheck&quot;=&quot;1&quot;<P>

QID Detection Logic (Authenticated):<BR>
This QID checks for the presence of these registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Cryptography\Wintrust\Config and HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config, and checks whether the value 'EnableCertPaddingCheck' associated with these keys is set to 1 (REG_DWORD or  REG_SZ).<BR>
If these keys are missing or the value is not set to 1 of registry value EnableCertPaddingCheck is , then this QID gets reported.<P>



",A remote code execution vulnerability exists in the way that the WinVerifyTrust function handles Windows Authenticode signature verification for portable executable (PE) files. An anonymous attacker could exploit the vulnerability by modifying an existing signed executable file to leverage unverified portions of the file in such a way as to add malicious code to the file without invalidating the signature. <BR>
Server,production,windows server 2019 standard,Internal Vulnerabilities,Internal Vulnerability,378864,Python Extensible Markup Language (XML) External Entity Vulnerability,Qualys Internal - Agent,Reopened,966,90,High,No,,6/10/2026,10/18/2023,6/10/2026,5/4/2024,5/8/2024,Yes,,CVE-2022-48565,1023,python,CVE-2022-48565,9/25/2023,Yes,No,,Open,"Customers are advised to upgrade to the latest supported python releases to remediate this vulnerability.<BR>
For latest release visit <A HREF=""https://www.python.org/downloads/"" TARGET=""_blank"">here</A>.
<P>Patch:<BR>
Following are links for downloading patches to fix the vulnerabilities:
<P> <A HREF=""https://github.com/python/cpython/issues/86217"" TARGET=""_blank"">CVE-2022-48565</A><P> <A HREF=""https://docs.python.org/3.6/whatsnew/changelog.html#python-3-6-13-final"" TARGET=""_blank"">Python 3.6.13</A><P> <A HREF=""https://docs.python.org/3.7/whatsnew/changelog.html#python-3-7-10-final"" TARGET=""_blank"">Python 3.7.10</A><P> <A HREF=""https://docs.python.org/3.8/whatsnew/changelog.html#python-3-8-7-release-candidate-1"" TARGET=""_blank"">Python 3.8.7</A><P> <A HREF=""https://docs.python.org/3.9/whatsnew/changelog.html#python-3-9-1-release-candidate-1"" TARGET=""_blank"">Python 3.9.1</A><P> <A HREF=""https://docs.python.org/3.10/whatsnew/changelog.html#python-3-10-0-alpha-2"" TARGET=""_blank"">Python 3.10.0</A>","An XML External Entity (XXE) issue was discovered in Python through 3.9.1. The plistlib module no longer accepts entity declarations in XML plist files to avoid XML vulnerabilities.<P>

Affected version<BR>
Python version  2.7.x and prior<BR>
Python version 3.0.x  to  3.5.x<BR>
Python version 3.6.x prior to 3.6.13<BR>
Python version 3.7.x prior to 3.7.10<BR>
Python version 3.8.x prior to 3.8.7<BR>
Python version 3.9.x prior to 3.9.1<BR>


QID Detection Logic (Authenticated):
It checks for the vulnerable version from the file py.exe<P>","Successful exploit may lead to XML External Entity (XXE)<P>
"
Server,production,windows server 2019 datacenter,Internal Vulnerabilities,Internal Vulnerability,372219,Wireshark Gryphon dissector infinite loop Vulnerability(wnpa-sec-2019-21),Qualys Internal - Agent,Reopened,954,90,High,No,,6/10/2026,10/30/2023,6/10/2026,5/4/2024,5/8/2024,Yes,,CVE-2019-16319,2460,wireshark,wnpa-sec-2019-21,11/26/2019,Yes,No,,Open,"The vendor has released patch in versions 3.0.4, 2.6.11 or later addressing these vulnerability.<BR>For more details please visit <A HREF=""https://www.wireshark.org/security/wnpa-sec-2019-21.html"" TARGET=""_blank"">Advisory</A>.<P> The latest version of the product is available for download from <A HREF=""https://www.wireshark.org/download.html"" TARGET=""_blank"">Wireshark Official site</A>. <P>Patch:<BR> Following are links for downloading patches to fix the vulnerabilities: <P> <A HREF=""https://www.wireshark.org/security/wnpa-sec-2019-21.html"" TARGET=""_blank"">wnpa-sec-2019-21: Windows</A>","Wireshark is a network protocol analyzer available for multiple operating systems. It lets you capture and interactively browse the traffic running on a computer network.<P>  Wireshark is found to be affected by multiple vulnerabilities:<BR> wnpa-sec-2019-21 - The Gryphon dissector could go into an infinite loop.<BR>  Affected Versions:<BR> 3.0.0 to 3.0.3, 2.6.0 to 2.6.10  QID Detection Logic (Authenticated):<BR> Windows: wireshark.exe file version is checked, MAC OSX: Wireshark app version is checked.",Successful exploitation may be possible to make Wireshark consume excessive CPU resources by injecting a malformed packet onto the wire or by convincing someone to read a malformed packet trace file.
Server,production,windows server 2019 datacenter,Internal Vulnerabilities,Internal Vulnerability,377642,Oracle Java Standard Edition (SE) Critical Patch Update - October 2022 (CPUOCT2022),Qualys Internal - Agent,Reopened,954,90,High,No,,6/10/2026,10/30/2023,6/10/2026,5/4/2024,5/8/2024,Yes,,"CVE-2022-21628,CVE-2022-21626,CVE-2022-21618,CVE-2022-21624,CVE-2022-39399,CVE-2022-21619",,oracle,Oracle Critical Patch Update Advisory - October 2022,10/19/2022,Yes,No,,Open,"The vendor has released updates to resolve these issues.  <P> Customers are advised to refer to vendor advisory <A HREF=""https://www.oracle.com/security-alerts/cpuoct2022.html#AppendixJAVA"" TARGET=""_blank"">Oracle Critical Patch Update Advisory - October 2022</A>  <P>Patch:<BR> Following are links for downloading patches to fix the vulnerabilities: <P> <A HREF=""https://www.oracle.com/security-alerts/cpuoct2022.html"" TARGET=""_blank"">Oracle Critical Patch Update Advisory - Oct 2022</A>","Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages.<P>  Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components.<P>  Affected Versions:<BR> Oracle Java SE: 8u341, 8u345-perf, 11.0.16.1, 17.0.4.1, 19 and prior<P>  QID Detection Logic (Authenticated):<BR> Operating System: Windows<BR> This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll.<P>  QID Detection Logic (Authenticated):<BR> Operating System: Linux<BR> This QID checks product version from the java binary.<P>","Successful exploitation could allow an attacker to affect the confidentiality, integrity and availability of data on the target system.<P>"
Server,production,windows server 2019 datacenter,Internal Vulnerabilities,Internal Vulnerability,375964,Oracle Java SE Critical Patch Update - October 2021 (CPUOCT2021),Qualys Internal - Agent,Reopened,954,90,High,No,,6/10/2026,10/30/2023,6/10/2026,5/4/2024,5/8/2024,Yes,,"CVE-2021-3517,CVE-2021-35564,CVE-2021-35556,CVE-2021-35559,CVE-2021-35578,CVE-2021-35586,CVE-2021-35567,CVE-2021-35561,CVE-2021-35603,CVE-2021-35550,CVE-2021-35588,CVE-2021-3522,CVE-2021-35560,CVE-2021-35565",1694,oracle,Oracle Critical Patch Update Advisory - October 2021,10/20/2021,Yes,No,,Open,"The vendor has released updates to resolve these issues.  <P> Customers are advised to refer to vendor advisory <A HREF=""https://www.oracle.com/security-alerts/cpuoct2021.html#AppendixJAVA"" TARGET=""_blank"">Oracle Critical Patch Update Advisory - October 2021</A>  <P>Patch:<BR> Following are links for downloading patches to fix the vulnerabilities: <P> <A HREF=""https://www.oracle.com/security-alerts/cpuoct2021.html"" TARGET=""_blank"">Oracle Critical Patch Update Advisory - October 2021</A>","Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages.<P> Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components.<P> Affected Versions:<BR> Oracle Java JDK and JRE, versions 7u311, 8u301, 11.0.12, 17 and prior<P>  QID Detection Logic (Authenticated):<BR> Operating System: Windows<BR> This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll.<P>  QID Detection Logic (Authenticated):<BR> Operating System: Linux<BR> This QID checks product version from the java binary.<P>","This Critical Patch Update contains 15 new security patches for Oracle Java SE. 13 of these vulnerabilities may be remotely exploitable without authentication, i.e., may be exploited over a network without requiring user credentials<BR>"
Server,production,ubuntu 20.04,Internal Vulnerabilities,Internal Vulnerability,387288,Linux Kernel Local Privilege Escalation Vulnerability (Dirty Frag) (CVE-2026-43500),Qualys Internal - Agent,Active,32,90,High,No,,6/10/2026,5/9/2026,6/10/2026,,,No,,CVE-2026-43500,,linux,Dirty Frag,5/9/2026,No,No,,Open,"Customer are advised to refer to <A HREF=""https://github.com/V4bel/dirtyfrag"" TARGET=""_blank"">Dirty-Frag</A>for more information on this vulnerability.

","Dirty Frag was inspired by Copy Fail as the xfrm-ESP Page-Cache Write vulnerability shares the same sink as Copy Fail. However, it can be triggered on systems that have applied the algif_aead blacklist as a mitigation strategy. This means that systems that have been mitigated against Copy Fail remain vulnerable to Dirty Frag<P>

Affected version<BR>
Linux distros Ubuntu, Debian, CentOS, Suse, Amazon, Alma Linux, Fedora, Red Hat, Oracle, Rocky Linux, Microsoft Azure Linux, and others<P>

QID Detection Logic(Authenticated):<P>
QID checks the kernel configuration settings associated with the RXRPC module to determine whether the module is available/loadable. The QID also checks whether the mitigation has been applied through configuration files.<BR>","Successful exploitation of this vulnerability could lead to a security breach or affect Confidentiality, integrity and availability<P>"
Server,production,ubuntu 18.04,Internal Vulnerabilities,Internal Vulnerability,387288,Linux Kernel Local Privilege Escalation Vulnerability (Dirty Frag) (CVE-2026-43500),Qualys Internal - Agent,Active,32,90,High,No,,6/10/2026,5/9/2026,6/10/2026,,,No,,CVE-2026-43500,,linux,Dirty Frag,5/9/2026,No,No,,Open,"Customer are advised to refer to <A HREF=""https://github.com/V4bel/dirtyfrag"" TARGET=""_blank"">Dirty-Frag</A>for more information on this vulnerability.

","Dirty Frag was inspired by Copy Fail as the xfrm-ESP Page-Cache Write vulnerability shares the same sink as Copy Fail. However, it can be triggered on systems that have applied the algif_aead blacklist as a mitigation strategy. This means that systems that have been mitigated against Copy Fail remain vulnerable to Dirty Frag<P>

Affected version<BR>
Linux distros Ubuntu, Debian, CentOS, Suse, Amazon, Alma Linux, Fedora, Red Hat, Oracle, Rocky Linux, Microsoft Azure Linux, and others<P>

QID Detection Logic(Authenticated):<P>
QID checks the kernel configuration settings associated with the RXRPC module to determine whether the module is available/loadable. The QID also checks whether the mitigation has been applied through configuration files.<BR>","Successful exploitation of this vulnerability could lead to a security breach or affect Confidentiality, integrity and availability<P>"
Server,production,ubuntu 18.04,Internal Vulnerabilities,Internal Vulnerability,387289,Linux Kernel Local Privilege Escalation Vulnerability (Dirty Frag) (CVE-2026-43284),Qualys Internal - Agent,Active,32,90,High,No,,6/10/2026,5/9/2026,6/10/2026,,,No,,CVE-2026-43284,33,linux,Dirty Frag,5/9/2026,No,No,,Open,"Customer are advised to refer to <A HREF=""https://github.com/V4bel/dirtyfrag"" TARGET=""_blank"">Dirty-Frag</A>for more information on this vulnerability.


","Dirty Frag was inspired by Copy Fail as the xfrm-ESP Page-Cache Write vulnerability shares the same sink as Copy Fail. However, it can be triggered on systems that have applied the algif_aead blacklist as a mitigation strategy. This means that systems that have been mitigated against Copy Fail remain vulnerable to Dirty Frag.<P>

Affected version<BR>
Linux distros Ubuntu, Debian, CentOS, Suse, Amazon, Fedora, Red Hat, Oracle, Rocky Linux, Microsoft Azure Linux, and others<P>


QID Detection Logic(Authenticated):<P>
QID checks the kernel configuration settings associated with the esp4, esp6, ipcomp4, and ipcomp6 modules to determine whether the modules are available/loadable. The QID also checks whether the mitigation has been applied through configuration files.<BR>
","Successful exploitation of this vulnerability could lead to a security breach or affect Confidentiality, integrity and availability<P>"
Server,production,windows server 2019 standard,Internal Vulnerabilities,Internal Vulnerability,106161,EOL/Obsolete Software: Python 3.7.x Detected,Qualys Internal - Agent,Reopened,967,90,High,No,,6/10/2026,10/17/2023,6/10/2026,5/4/2024,5/8/2024,Yes,,,,python,Python 3.7.x End of Life,9/26/2023,No,No,,Open,"Customers are advised to upgrade to the latest supported python releases to remediate this vulnerability.<BR> For latest release visit <A HREF=""https://www.python.org/downloads/"" TARGET=""_blank"">here</A>.","Python is an interpreted high-level programming language for general-purpose programming.<P>

Python 3.7.x reached End of Life in its support cycle on June 27, 2023.<BR>

<P>Since there are no further bug fixes or security updates for the python 3.7.x series, it's highly recommended to migrate to newer supported versions.

<P>Affected Versions:<BR>
Python 3.7.x <BR>

<P>QID Detection Logic (Authenticated)<BR>
This checks for vulnerable version of Python.","The system is at high risk of being exposed to security vulnerabilities. Since the vendor no longer provides updates, obsolete software is more vulnerable to viruses and other attacks.<P>"
